Year,5th,25th,50th,75th,95th,Mean
14.833333333333334,420879.8044684374,565107.2839351302,709042.2672953701,877833.919277896,1174048.7446704293,746560.8518822077
14.916666666666666,429818.2404833481,568123.2445722135,714718.2186963046,882142.4439044665,1228807.9855027497,754672.3220649001
15.0,435427.3086647067,579466.3740996225,714995.2566773945,880329.7393363873,1219669.3521219962,760403.8892011842
15.083333333333334,433662.2401439398,589256.7144181301,724625.8891111484,889014.5040978398,1234769.1518895735,765970.2822120113
15.166666666666666,436774.8792447343,590140.0513191271,728159.3910422778,905318.2649381816,1230429.9395624804,773779.9669872574
15.25,436686.2472816354,601364.2768843286,740114.2658104167,915110.527710943,1245857.9391663182,781249.3596955185
15.333333333333334,438484.22421182535,596182.0554779394,743598.0019622142,928487.9636655594,1257067.054105225,787355.4744021576
15.416666666666666,440325.64090766304,605928.9339398333,749901.4360752073,933626.4620417119,1264944.780528622,795063.0822699155
15.5,448281.334932017,607496.0856675265,750796.8499494984,955526.6300967301,1275046.6931929227,803305.2081768889
15.583333333333334,462817.9483167636,615574.5855746858,759391.3797686646,952265.7327261979,1274599.3293174952,810142.4974058684
15.666666666666666,459137.48444148334,624668.4564574002,772266.0355399926,959201.4145675409,1296694.6852594619,818092.1929809895
15.75,464013.7348503942,628303.6363191729,777541.4475119043,957013.5690639064,1303078.9951678151,826613.2329015593
15.833333333333334,469656.83797807887,626278.3165324039,778045.7357801555,963147.2688687037,1328078.322118754,832655.4174027253
15.916666666666666,472523.3073596847,636279.4092544676,782559.7611383672,986739.4819353768,1353387.865040111,841813.3934593893
16.0,470298.9147107854,636437.8062184157,795012.8323713231,992770.9186668638,1373729.4349365532,849899.1753283227
16.083333333333332,471442.34212150064,641648.5128741635,797120.853977286,1012297.0106496204,1398369.432747617,858014.7517885435
16.166666666666668,487206.0166113679,657086.3510773316,801154.927062209,1027766.0912959792,1435394.8968011357,865917.2507284803
16.25,485163.8800321986,658625.5153161668,812414.1609385198,1036422.2436230676,1421728.0620108626,871102.6397959588
16.333333333333332,497857.81617089425,668983.3174998706,808165.1618164812,1038749.0719096119,1459887.296196563,880079.2415580611
16.416666666666668,499309.05314184655,676570.5159676151,817278.3164659648,1040444.19532284,1493730.428327893,888071.6250705732
16.5,503909.8969090457,683657.6258309203,830584.9995129396,1047091.1361727656,1524230.403882949,897000.5014047954
16.583333333333332,506216.05964600696,683418.672267389,834154.798194812,1050197.8113253452,1562743.2147279123,904131.266643022
16.666666666666668,499518.26655839215,684262.2255544732,839484.0784536593,1064003.7557779697,1543590.523137974,909336.3757498683
16.75,501232.508922167,680788.0165491657,843787.6508077267,1076155.713543546,1520747.6488175886,914701.8455396041
16.833333333333332,505744.24232260714,695898.0015389733,853508.0511407699,1085180.4575093724,1527350.0546025364,921719.8517587788
16.916666666666668,516588.67325492465,702593.4587802405,865578.5456972541,1094874.5300928606,1530698.800426229,928877.7101970367
17.0,506718.2530165283,708242.4788850594,878621.0203007523,1107816.0989714947,1559755.1889430173,939224.2533999996
17.083333333333332,501509.8516557763,713287.2008245885,880879.8290657992,1107919.520062534,1565380.9647659794,946548.7302553694
17.166666666666668,507601.7514477144,727458.6367300518,883646.6194194984,1118097.9368495708,1579740.1112927892,954320.9814877751
17.25,519400.67668878014,727621.6745773443,894511.0972194211,1134737.739086663,1588955.9512152572,960579.1757144181
17.333333333333332,519363.47076192725,738387.7062520396,898787.0753100795,1158043.659502033,1600340.243575799,968796.2230679234
17.416666666666668,522619.1093420489,744508.595509972,906453.7367028903,1148450.7832757763,1607963.8080140646,975927.8311861911
17.5,541725.1670017723,753049.4390557609,915543.8978656861,1165525.9520884699,1625050.341423764,985741.7361245152
17.583333333333332,546523.4797547137,760842.6181566451,925028.71616092,1169278.858722738,1659573.2998840467,992604.1926062598
17.666666666666668,546413.9855813938,759787.7288340284,935761.1209728013,1173973.432444476,1679569.2994481146,1001995.7491310093
17.75,543302.7282486106,760628.9391373268,952081.1657446171,1179952.7024771667,1708504.9662407725,1010294.0612499487
17.833333333333332,556370.3196472529,764365.843333237,958111.3506149492,1187905.3459725282,1684153.736925759,1021335.5468643405
17.916666666666668,565986.6519174284,773812.4998521063,967571.3342727157,1199990.9511766753,1678269.202078105,1029101.714850077
18.0,555137.1629530826,781491.7642787219,963626.2029298637,1213876.0839514688,1707990.1546594808,1036703.375897844
18.083333333333332,553886.4707447933,787618.4281317233,980801.5144505528,1221715.637499475,1737421.0037129456,1044306.5982765381
18.166666666666668,570624.6850963709,795003.5236296552,988062.7477190016,1220599.3735234935,1703756.988734451,1054309.8525861497
18.25,568187.3907569636,794150.1604307205,996225.6930891891,1238554.4495866888,1747441.626974923,1063527.830055058
18.333333333333332,567569.809389798,803666.194092139,1012061.9033530935,1243549.2350732328,1731388.599969225,1073389.65577894
18.416666666666668,577449.7922641983,813473.9223707092,1013763.2615235945,1260530.9509994406,1756920.3620644032,1080752.6532002443
18.5,567457.5051701866,810367.2805956895,1023401.5018337426,1277433.4764622413,1874501.2034405826,1087453.336321528
18.583333333333332,576508.5341559316,819565.9619402578,1034201.0649840698,1271037.3365566644,1902850.5927723658,1096453.858262557
18.666666666666668,587698.6249061993,827029.6979280924,1047581.8475224046,1295870.3123177763,1892513.768494193,1106252.014884293
18.75,603259.3739114415,825205.479468171,1066953.2451022523,1301708.3069669148,1891941.8048406802,1115683.4772825597
18.833333333333332,598604.7850165785,831125.2010970474,1068467.597963526,1325225.5482724996,1938392.5151925685,1124128.3489850948
18.916666666666668,601120.1938150252,837300.5461290607,1079260.3517249087,1330445.1615188601,1950167.6728688444,1133439.378101059
19.0,612674.6656567847,848677.4099284604,1093921.989794,1341590.0503035109,1979089.519423785,1143970.520384298
19.083333333333332,597343.307957464,870618.2028028043,1105684.9794532354,1352249.795564454,1964061.0052812155,1156309.787245727
19.166666666666668,613080.731883504,884322.1721547103,1111123.027245342,1365324.9137671783,1940588.4991944504,1167028.6165537483
19.25,616642.7721094405,890932.9933851189,1111394.3057855763,1392312.48800644,1969950.1102715295,1174605.8879178606
19.333333333333332,616553.8821027668,900586.5916868077,1123972.2170578619,1403948.645247663,1991788.4959659262,1186685.0183192238
19.416666666666668,615353.2321099031,893627.9268904049,1120530.748241934,1400486.3917698546,2032248.1171199663,1194176.0900715678
19.5,619451.7270510129,900188.5421546655,1130192.384149509,1415170.801620413,2052510.3025692096,1207280.1054266687
19.583333333333332,627396.318516721,905276.872457855,1138142.1611282192,1433794.7476984616,2081660.4495393622,1217282.1324468448
19.666666666666668,641577.3947479646,925676.5960597,1143668.5505826888,1453632.8353509116,2064216.1360809598,1229599.771692791
19.75,645982.9122421094,912256.5459142387,1163928.852056379,1467214.1335185743,2097924.444677833,1236746.435910805
19.833333333333332,654377.3681750889,928304.681111664,1177223.449235477,1469924.5706476825,2093803.6061595203,1248456.8019165879
